"도서관명",시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
"일봉동작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,6,10436,7,37,10,14,충청남도 천안시 동남구 차돌고개4길 18,충청남도 천안시청,041-573-3353,48,48,http://www.cheonan.go.kr/lib.do,36.79912457,127.1353251,2021-09-24
"성남면작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,8,6962,5,0,10,14,충청남도 천안시 동남구 성남면 신사대화로 149,충청남도 천안시청,041-622-6665,91,91,http://www.cheonan.go.kr/lib.do,36.74222767,127.2369957,2021-09-24
"풍세면작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,12,6759,5,0,10,14,충청남도 천안시 동남구 풍세면 상정1길 3,충청남도 천안시청,041-554-5201,100,100,http://www.cheonan.go.kr/lib.do,36.72182275,127.1187666,2021-09-24
"문성동작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,12,9261,5,607,10,14,충청남도 천안시 동남구 복자1길 24,충청남도 천안시청,041-522-9065,100,100,http://www.cheonan.go.kr/lib.do,36.81422134,127.1521491,2021-09-24
"입장면작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,12,9200,5,0,10,14,충청남도 천안시 서북구 입장면 하장4길 37,충청남도 천안시청,041-583-5001,69,69,http://www.cheonan.go.kr/lib.do,36.9133491,127.2182211,2021-09-24
"성환읍다문화작은도서관",충청남도,천안시,작은도서관,"매주 토/일요일, 국가지정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,24,14175,5,1246,10,14,충청남도 천안시 서북구 성환읍 성환13길 7,충청남도 천안시청,041-587-5002,183,183,http://www.cheonan.go.kr/lib.do,36.9181614,127.1343912,2021-09-24
"직산읍작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,20,16312,7,954,10,14,충청남도 천안시 서북구 직산읍 삼은4길 2,충청남도 천안시청,041-583-0337,208,208,http://www.cheonan.go.kr/lib.do,36.8790064970,127.1504675019,2021-09-24
"광덕작은도서관",충청남도,천안시,작은도서관,"매주 토/일요일, 국가지정공휴일",08:00,16:00,00:00,00:00,00:00,00:00,24,5650,3,0,10,14,충청남도 천안시 동남구 광덕면 신흥리3길 76,충청남도 천안시청,041-522-0333,165,165,http://www.cheonan.go.kr/lib.do,36.69497347,127.1105835,2021-09-24
"신안동작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,18,7486,7,0,10,14,충청남도 천안시 동남구 신부3길 16-6,충청남도 천안시청,041-564-3020,56,56,http://www.cheonan.go.kr/lib.do,36.81745837,127.1601766,2021-09-24
"천안축구센터작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,18,8859,6,0,10,14,충청남도 천안시 서북구 축구센터로 150,충청남도 천안시청,041-577-8270,108,108,http://www.cheonan.go.kr/lib.do,36.82143819,127.1457665,2021-09-24
"성정1동작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,18,11907,8,908,10,14,충청남도 천안시 서북구 선영8길 7,충청남도 천안시청,041-579-5783,215,215,http://www.cheonan.go.kr/lib.do,36.81503662,127.1428673,2021-09-24
"목천느티나무작은도서관",충청남도,천안시,작은도서관,"매주 토/일요일, 국가지정공휴일",08:30,16:30,00:00,00:00,00:00,00:00,40,5529,3,0,10,14,충청남도 천안시 동남구 목천읍 서리2길 31,충청남도 천안시청,041-522-8018,180,180,http://www.cheonan.go.kr/lib.do,36.78791317,127.2357247,2021-09-24
"북면바로내작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,26,5585,5,0,10,14,충청남도 천안시 동남구 북면 위례성로 661-16,충청남도 천안시청,041-557-2332,90,90,http://www.cheonan.go.kr/lib.do,36.8227841,127.2722181,2021-09-24
